"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"408_at"	"0.000437"	"3.46e-08"	"-8.6145852"	"8.5557"	"-2.8997089"	"CXCL1"	"C-X-C motif chemokine ligand 1"
"38299_at"	"0.001766"	"3.57e-07"	"-7.4107588"	"6.53586"	"-2.1137464"	"IL6"	"interleukin 6"
"37187_at"	"0.001766"	"5.18e-07"	"-7.2285442"	"6.20962"	"-3.3360482"	"CXCL2"	"C-X-C motif chemokine ligand 2"
"1069_at"	"0.001766"	"8.01e-07"	"-7.0165173"	"5.82319"	"-1.8129787"	"PTGS2"	"prostaglandin-endoperoxide synthase 2"
"37310_at"	"0.001766"	"9.05e-07"	"-6.9578354"	"5.71495"	"-1.2233738"	"PLAU"	"plasminogen activator, urokinase"
"35692_at"	"0.001766"	"9.39e-07"	"-6.9397856"	"5.68154"	"-0.8706885"	"TMEM158"	"transmembrane protein 158 (gene/pseudogene)"
"37646_at"	"0.001766"	"1.25e-06"	"-6.8026235"	"5.42599"	"-0.497717"	"POLD3"	"DNA polymerase delta 3, accessory subunit"
"34022_at"	"0.001766"	"1.27e-06"	"-6.7958372"	"5.41326"	"-1.9559713"	"CXCL3"	"C-X-C motif chemokine ligand 3"
"1126_s_at"	"0.001766"	"1.29e-06"	"-6.7899771"	"5.40227"	"-1.081894"	"CD44"	"CD44 molecule (Indian blood group)"
"2036_s_at"	"0.001766"	"1.40e-06"	"-6.7499329"	"5.32701"	"-1.4040161"	"CD44"	"CD44 molecule (Indian blood group)"
"38354_at"	"0.002237"	"1.95e-06"	"-6.5932273"	"5.03005"	"-1.0760038"	"CEBPB"	"CCAAT/enhancer binding protein beta"
"40790_at"	"0.002286"	"2.17e-06"	"-6.5421957"	"4.93251"	"-0.9662514"	"BHLHE40"	"basic helix-loop-helix family member e40"
"38125_at"	"0.002654"	"2.73e-06"	"-6.4353543"	"4.72697"	"-0.5987757"	"SERPINE1"	"serpin family E member 1"
"37345_at"	"0.002875"	"3.19e-06"	"-6.3636914"	"4.58812"	"-0.9356248"	"CALU"	"calumenin"
"34793_s_at"	"0.002877"	"3.42e-06"	"-6.3314154"	"4.52532"	"-1.1796387"	"PLS3"	"plastin 3"
"38510_at"	"0.003504"	"4.44e-06"	"-6.2108745"	"4.28941"	"-1.1408317"	"IRAK3"	"interleukin 1 receptor associated kinase 3"
"38763_at"	"0.005068"	"7.53e-06"	"-5.9700852"	"3.81169"	"-0.7694226"	"SORD"	"sorbitol dehydrogenase"
"38435_at"	"0.005068"	"7.83e-06"	"-5.9522197"	"3.77592"	"-0.8610257"	"PRDX4"	"peroxiredoxin 4"
"37890_at"	"0.005068"	"7.95e-06"	"-5.9456434"	"3.76273"	"-0.7750904"	"CD47"	"CD47 molecule"
"39945_at"	"0.005068"	"8.03e-06"	"-5.9410633"	"3.75355"	"-1.333686"	"FAP"	"fibroblast activation protein alpha"
"37747_at"	"0.006645"	"1.11e-05"	"-5.7970717"	"3.46332"	"-1.1389895"	"ANXA5"	"annexin A5"
"1327_s_at"	"0.006653"	"1.16e-05"	"-5.7756188"	"3.41983"	"-0.7473745"	"MAP3K5"	"mitogen-activated protein kinase kinase kinase 5"
"37603_at"	"0.008166"	"1.49e-05"	"-5.6637304"	"3.19203"	"-1.7684806"	"IL1RN"	"interleukin 1 receptor antagonist"
"40493_at"	"0.008166"	"1.55e-05"	"-5.6452067"	"3.15416"	"-1.1002764"	"CD44"	"CD44 molecule (Indian blood group)"
"36070_at"	"0.009205"	"1.82e-05"	"-5.5738026"	"3.00775"	"-1.000041"	"CEMIP"	"cell migration inducing hyaluronan binding protein"
"33436_at"	"0.009594"	"1.98e-05"	"-5.5380042"	"2.93411"	"-0.6022437"	"SOX9"	"SRY-box 9"
"38121_at"	"0.013145"	"2.84e-05"	"-5.3783076"	"2.60367"	"-1.6758345"	"WARS"	"tryptophanyl-tRNA synthetase"
"32067_at"	"0.013145"	"2.92e-05"	"-5.3663285"	"2.57876"	"-1.1095995"	"CREM"	"cAMP responsive element modulator"
"33705_at"	"0.013273"	"3.05e-05"	"-5.3466336"	"2.53777"	"-1.8699325"	"PDE4B"	"phosphodiesterase 4B"
"34873_at"	"0.014654"	"3.48e-05"	"-5.2883258"	"2.41616"	"-0.6883105"	"NEBL"	"nebulette"
"1044_s_at"	"0.014786"	"3.63e-05"	"-5.2700413"	"2.37795"	"-0.6442286"	"E2F5"	"E2F transcription factor 5"
"38428_at"	"0.015523"	"4.27e-05"	"-5.1992835"	"2.22973"	"-2.8793664"	"MMP1"	"matrix metallopeptidase 1"
"40091_at"	"0.015523"	"4.27e-05"	"-5.1986555"	"2.22841"	"-1.169014"	"BCL6"	"B-cell CLL/lymphoma 6"
"33802_at"	"0.015523"	"4.36e-05"	"5.189617"	"2.20944"	"0.4430045"	"HMOX1"	"heme oxygenase 1"
"1520_s_at"	"0.015523"	"4.37e-05"	"-5.1889084"	"2.20795"	"-1.5142726"	"IL1B"	"interleukin 1 beta"
"41275_at"	"0.015523"	"4.43e-05"	"-5.1832791"	"2.19613"	"-0.6508265"	"E2F5"	"E2F transcription factor 5"
"37482_at"	"0.015523"	"4.55e-05"	"5.171432"	"2.17124"	"1.1154692"	"AKR1B10"	"aldo-keto reductase family 1 member B10"
"33433_at"	"0.01577"	"4.75e-05"	"-5.1529209"	"2.13233"	"-0.5242599"	"FAM98A"	"family with sequence similarity 98 member A"
"920_at"	"0.017113"	"5.29e-05"	"5.106027"	"2.03358"	"0.2682845"	"NKTR"	"natural killer cell triggering receptor"
"39113_at"	"0.018551"	"6.01e-05"	"-5.0501818"	"1.91571"	"-0.6883485"	"PDIA4"	"protein disulfide isomerase family A member 4"
"35492_at"	"0.018551"	"6.17e-05"	"5.0391918"	"1.89248"	"0.7591152"	"CYP4F12"	"cytochrome P450 family 4 subfamily F member 12"
"36804_at"	"0.018551"	"6.17e-05"	"-5.0387378"	"1.89152"	"-2.0678646"	"IDO1"	"indoleamine 2,3-dioxygenase 1"
"36979_at"	"0.019185"	"6.73e-05"	"-5.0013374"	"1.81237"	"-0.5354692"	"SLC2A3"	"solute carrier family 2 member 3"
"34666_at"	"0.019185"	"6.73e-05"	"-5.001261"	"1.81221"	"-1.4510954"	"LOC100129518///SOD2"	"uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial"
"41175_at"	"0.019185"	"7.12e-05"	"-4.9765059"	"1.75976"	"-0.4632701"	"CBFB"	"core-binding factor beta subunit"
"38404_at"	"0.019185"	"7.23e-05"	"-4.9700929"	"1.74616"	"-1.572059"	"TGM2"	"transglutaminase 2"
"38034_at"	"0.019185"	"7.24e-05"	"-4.9692599"	"1.74439"	"-0.6718669"	"STS"	"steroid sulfatase (microsomal), isozyme S"
"37403_at"	"0.019185"	"7.38e-05"	"-4.9611939"	"1.72728"	"-1.5056942"	"ANXA1"	"annexin A1"
"32577_s_at"	"0.019185"	"7.45e-05"	"4.9573751"	"1.71918"	"0.3783581"	"PSMC3IP"	"PSMC3 interacting protein"
"1396_at"	"0.019613"	"7.77e-05"	"-4.9390628"	"1.68031"	"-0.9979742"	"IGFBP5"	"insulin like growth factor binding protein 5"
"2024_s_at"	"0.019963"	"8.06e-05"	"-4.9228532"	"1.64588"	"-0.6382237"	"LYN"	"LYN proto-oncogene, Src family tyrosine kinase"
"37632_s_at"	"0.021392"	"8.83e-05"	"-4.883712"	"1.56265"	"-0.7011305"	"DNAJC2"	"DnaJ heat shock protein family (Hsp40) member C2"
"33434_at"	"0.021392"	"8.98e-05"	"-4.8763611"	"1.54701"	"-0.7069831"	"BET1"	"Bet1 golgi vesicular membrane trafficking protein"
"41177_at"	"0.021679"	"9.27e-05"	"-4.8625447"	"1.51759"	"-1.1666245"	"LPCAT1"	"lysophosphatidylcholine acyltransferase 1"
"40074_at"	"0.022543"	"1.00e-04"	"-4.8282408"	"1.44449"	"-1.1009251"	"MTHFD2"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
