interaction_id	a_alias	b_alias	a_id	b_id
617751	XP_005246677	Q9ULX9	1736180	2082462
618166	A8K147	P21802-8	2654427	4935615
618559	P37231-3	Q9UBE8	2201336	3885227
619478	P42224-2	Q13287	1004542	3740662
619507	L7RT34	E9KL36	1100879	4608361
619862	complex:+EeIWZ9Q33kUX+Xk9C7f5x68bHE	P26718	619862	2679416
619862	complex:+EeIWZ9Q33kUX+Xk9C7f5x68bHE	Q9UBK5	619862	2824873
619862	complex:+EeIWZ9Q33kUX+Xk9C7f5x68bHE	Q29980	619862	3178050
620393	Q9GZN1	Q16658	70418	4997501
621126	P19174	P07948-2	3550890	4083603
621183	P04083	XP_005274205	3719914	4629164
621443	Q96AJ1-2	Q9BW66	4050778	4071989
621971	NP_002176	P07948-2	2659032	4083603
622125	P07492-2	Q16820	2861764	8972896
622149	P15036	O95551	3043915	3235241
623435	P25963	P04083	2963834	3719914
624111	Q96EV8	Q96AJ1	3510534	4050778
624992	P37231	F1D8Q7	2201336	2636147
625166	P11487	P21802	1445817	4935615
625229	P48059	Q9NW64	2974113	3548395
625268	Q86TU0	Q96AJ1	873074	4050778
625336	Q9NVS9	P36871	1091835	2673990
625431	P22607	P12034	656326	1108016
625897	P63261	P08758	1170182	4535951
627030	O75381	P04040	970667	2460995
627236	P24394-2	P35568	261522	3143545
627519	P35968	P08758	3242633	4535951
627831	P31949	P04083	1220674	3719914
628084	P10721-2	Q9P212	1981907	3351727
628183	P04083	P21462	3719914	4801826
628231	P36871	Q9NR19	2673990	3140794
628347	P07948-2	Q13432-2	4083603	4972844
628355	O95257	P37231-3	86338	2201336
628811	P42224-2	P15260	1004542	2861341
629495	O60674	P07948-2	3976855	4083603
629691	P38117	Q15067	1896326	5287038
629981	P42574	P14317	3329408	16820919
631252	P08620	P22607-3	466161	656326
631461	Q92622	complex:/qcPS6FBslHdL4hMjVDSns01FU4	184136	631461
631461	Q6P1M0	complex:/qcPS6FBslHdL4hMjVDSns01FU4	199872	631461
631461	Q14683	complex:/qcPS6FBslHdL4hMjVDSns01FU4	233780	631461
631461	Q14457	complex:/qcPS6FBslHdL4hMjVDSns01FU4	517184	631461
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9Y4W6	631461	639531
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9H4I3	631461	948452
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q99570	631461	1406752
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	P15170	631461	1410809
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q92574	631461	1942456
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9P0N9	631461	2119185
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q6ZNE5	631461	2186948
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q96EE3	631461	2318708
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q86YD1	631461	2385819
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q13625	631461	3484827
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9UQE7	631461	3607869
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q96F24	631461	3617366
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q8NEB9	631461	4021969
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q86Y13	631461	4119912
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9P2Y5	631461	4177872
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	P78527	631461	4713146
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9C0C7	631461	5289096
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9H714	631461	5301162
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	O95229	631461	5435694
631924	P36871	P31350	2673990	4545493
632459	Q9UQ07	P25815	595207	4764357
633008	P08559	Q15120	3487095	3634163
633859	P36871	B4DJ51	2673990	4264365
633986	Q99708	P48059	548744	2974113
634112	Q02218	P36871	1187339	2673990
634722	P32927	P07948-2	3303272	4083603
635053	P37231-3	B6ZGU0	2201336	2350445
635148	Q99460	P37231	1058808	2201336
635203	P11021	P01871	3333598	5334003
635293	P34897-3	Q92597	1377691	5176863
635781	Q53QZ3	P36871	1827736	2673990
636760	Q96PU8-6	NP_005326	765978	16820919
636864	O14613	XP_005262457	961211	2052564
637369	O95994	Q9GZT6	1680760	1712931
637674	P42224	P78347	1004542	1605620
637880	P15328	P07948	2114283	4083603
638902	P41222	P40692	2268399	4465042
639915	P21860	P07948	3231405	4083603
641096	Q03060-23	Q03060-23	11792364	11792364
641674	P42224	P36897	1004542	3837793
642657	P48059	P61457	2974113	4750819
642675	P78545	Q16658	4413664	4997501
643383	P08069	P35568	638045	3143545
644794	Q14141-2	Q9UHD8-4	2052564	5397190
644818	P42224-2	P25791	1004542	3321411
645361	P22607	P05230	656326	2654427
645628	XP_005246873	Q9Y3C5	1004542	4372825
645785	P14921-3	P15036	2753834	3043915
645817	P42224	P43405	1004542	3999360
645835	Q14457	complex:1fvK6mptvDmmnt6rxJqL4oUAFp0	517184	645835
645835	complex:1fvK6mptvDmmnt6rxJqL4oUAFp0	Q99570	645835	1406752
645835	complex:1fvK6mptvDmmnt6rxJqL4oUAFp0	Q6ZNE5	645835	2186948
