gene_name	drug_name	interaction_type	source	gene_categories	UC	CD
IL6	VX-702	n/a	DrugBank	cell surface,drug resistance,external side of plasma membrane,growth factor	false	false
IL6	VX-702	n/a	DrugBank	cell surface,drug resistance,external side of plasma membrane,growth factor	false	false
PTGS2	IBUPROFEN	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PHENYLBUTAZONE	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MELOXICAM	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ROFECOXIB	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETORICOXIB	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TIAPROFENIC ACID	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	LUMIRACOXIB	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DIFLUNISAL	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETODOLAC	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TENOXICAM	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NIFLUMIC ACID	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PIROXICAM	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MEFENAMIC ACID	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NIMESULIDE	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXEN	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	GW-406381	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CARPROFEN	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	VALDECOXIB	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NABUMETONE	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	TOLMETIN	inhibitor	TTD	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	DICLOFENAC	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MELOXICAM	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NIMESULIDE	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	VALDECOXIB	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOROLAC	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ASPIRIN	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	VALDECOXIB	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	SUPROFEN	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CELECOXIB	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MECLOFENAMIC ACID	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ROFECOXIB	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETORICOXIB	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	LUMIRACOXIB	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	MEFENAMIC ACID	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOPROFEN	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	BENZQUINAMIDE	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETODOLAC	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CARPROFEN	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NAPROXEN	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	IBUPROFEN	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	OXAPROZIN	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PHENYLBUTAZONE	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	PIROXICAM	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	KETOROLAC	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	FLURBIPROFEN	n/a	GuideToPharmacologyInteractions	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ROFECOXIB	n/a	PharmGKB	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	NIMESULIDE	n/a	PharmGKB	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	CAPECITABINE	n/a	PharmGKB	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	ETORICOXIB	n/a	PharmGKB	drug resistance,druggable genome,tumor suppressor	false	false
PTGS2	VALDECOXIB	n/a	PharmGKB	drug resistance,druggable genome,tumor suppressor	false	false
