Entry	Entry name
P09341	GROA_HUMAN
B4DNV3	B4DNV3_HUMAN
B5MC14	B5MC14_HUMAN
B5MC21	B5MC21_HUMAN
B5MCZ3	B5MCZ3_HUMAN
C9J5B0	C9J5B0_HUMAN
P05231	IL6_HUMAN
Q75MH2	Q75MH2_HUMAN
A0A024RDD9	A0A024RDD9_HUMAN
P19875	CXCL2_HUMAN
D9MWI3	D9MWI3_HUMAN
P35354	PGH2_HUMAN
Q6ZYK7	Q6ZYK7_HUMAN
Q9NNY7	Q9NNY7_HUMAN
A0A024QZM9	A0A024QZM9_HUMAN
E7ET40	E7ET40_HUMAN
P00749	UROK_HUMAN
Q9UEJ5	Q9UEJ5_HUMAN
S4R3G7	S4R3G7_HUMAN
Q8WZ71	TM158_HUMAN
P19876	CXCL3_HUMAN
C0STK4	C0STK4_HUMAN
C1PHC2	C1PHC2_HUMAN
C1PHC3	C1PHC3_HUMAN
C1PHC4	C1PHC4_HUMAN
C1PHE6	C1PHE6_HUMAN
E9PKC6	E9PKC6_HUMAN
H0Y2P0	H0Y2P0_HUMAN
H0Y5E4	H0Y5E4_HUMAN
H0YCL4	H0YCL4_HUMAN
H0YCV9	H0YCV9_HUMAN
H0YD13	H0YD13_HUMAN
H0YD17	H0YD17_HUMAN
H0YD90	H0YD90_HUMAN
H0YDV8	H0YDV8_HUMAN
H0YDW7	H0YDW7_HUMAN
H0YDX6	H0YDX6_HUMAN
H0YE40	H0YE40_HUMAN
H0YEA1	H0YEA1_HUMAN
H0YES0	H0YES0_HUMAN
H0YEU1	H0YEU1_HUMAN
H0YEV3	H0YEV3_HUMAN
H0YF08	H0YF08_HUMAN
J3KN83	J3KN83_HUMAN
O95658	O95658_HUMAN
O95659	O95659_HUMAN
P16070	CD44_HUMAN
Q86UZ1	Q86UZ1_HUMAN
Q99900	Q99900_HUMAN
Q9P2Z2	Q9P2Z2_HUMAN
P17676	CEBPB_HUMAN
Q9BSC0	Q9BSC0_HUMAN
W8SNU6	W8SNU6_HUMAN
W8SNV5	W8SNV5_HUMAN
O14503	BHE40_HUMAN
A0A024QYT5	A0A024QYT5_HUMAN
P05121	PAI1_HUMAN
A0A024R755	A0A024R755_HUMAN
H0Y875	H0Y875_HUMAN
O43852	CALU_HUMAN
Q6IAW5	Q6IAW5_HUMAN
A0A0A0MSQ0	A0A0A0MSQ0_HUMAN
A7E2S2	A7E2S2_HUMAN
F2Z2Z9	F2Z2Z9_HUMAN
H7C4N2	H7C4N2_HUMAN
P13797	PLST_HUMAN
U3KQI3	U3KQI3_HUMAN
F5GYN6	F5GYN6_HUMAN
Q9Y616	IRAK3_HUMAN
H0YKB3	H0YKB3_HUMAN
H0YLA4	H0YLA4_HUMAN
Q00796	DHSO_HUMAN
A6NG45	A6NG45_HUMAN
A6NJJ0	A6NJJ0_HUMAN
H7C3T4	H7C3T4_HUMAN
Q13162	PRDX4_HUMAN
V9HW63	V9HW63_HUMAN
