interaction_id	a_alias	b_alias	a_id	b_id
617751	XP_005246677	Q9ULX9	1736180	2082462
617945	O60488	P62877	634957	3594045
619152	O60488	O43592	634957	3972190
619478	P42224-2	Q13287	1004542	3740662
619507	L7RT34	E9KL36	1100879	4608361
619679	P10451	P16070	1001745	3739030
619978	P13236	P32246	1714665	3001692
620143	B2CIS9	P29466-4	1682385	1923050
620158	Q96KM6	P21980-2	2695738	3985867
621040	O14908	P49795	457052	2875903
621183	P04083	XP_005274205	3719914	4629164
622880	O60488	Q8N442	634957	883877
623435	P25963	P04083	2963834	3719914
623477	P29350	Q13094	299897	2970254
623514	P08253-3	P50281	3971681	4802061
623577	K7PPA8	P17676	1885413	3962824
624430	Q05195	Q13489	3995515	4170192
624504	O15492	Q9NZC3	232701	2429960
624833	P63096	O43566	491337	2698076
625897	P63261	P08758	1170182	4535951
627236	P24394-2	P35568	261522	3143545
627519	P35968	P08758	3242633	4535951
627831	P31949	P04083	1220674	3719914
628183	P04083	P21462	3719914	4801826
628215	Q9NS28	P08754	475639	3252138
628373	complex:/EHkcZRE6DNIA8LLJvYxPgBXymc	O75791	628373	1706107
628373	complex:/EHkcZRE6DNIA8LLJvYxPgBXymc	Q13094	628373	2970254
628373	complex:/EHkcZRE6DNIA8LLJvYxPgBXymc	O43561	628373	3344377
628811	P42224-2	P15260	1004542	2861341
629864	P17676	Q92922	3962824	4434473
630750	P14780	Q9NRE1	221385	5147980
631435	P14780	P10915	221385	1649868
631461	Q92622	complex:/qcPS6FBslHdL4hMjVDSns01FU4	184136	631461
631461	Q6P1M0	complex:/qcPS6FBslHdL4hMjVDSns01FU4	199872	631461
631461	Q14683	complex:/qcPS6FBslHdL4hMjVDSns01FU4	233780	631461
631461	Q14457	complex:/qcPS6FBslHdL4hMjVDSns01FU4	517184	631461
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9Y4W6	631461	639531
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9H4I3	631461	948452
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q99570	631461	1406752
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	P15170	631461	1410809
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q92574	631461	1942456
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9P0N9	631461	2119185
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q6ZNE5	631461	2186948
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q96EE3	631461	2318708
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q86YD1	631461	2385819
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q13625	631461	3484827
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9UQE7	631461	3607869
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q96F24	631461	3617366
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q8NEB9	631461	4021969
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q86Y13	631461	4119912
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9P2Y5	631461	4177872
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	P78527	631461	4713146
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9C0C7	631461	5289096
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	Q9H714	631461	5301162
631461	complex:/qcPS6FBslHdL4hMjVDSns01FU4	O95229	631461	5435694
631474	P55212	Q9Y616	4803728	9443045
631657	P14780	P35070	221385	3662990
631794	Q86XR7	Q9Y616-2	71438	9443045
631895	P45452	P00748	647118	9442795
632357	P11032	P01584	3158564	3873100
632459	Q9UQ07	P25815	595207	4764357
632715	P13236	A0N0R1	1714665	3968630
633031	Q07343	C4P096	4774463	5309392
633474	P25025	P25025	4138380	4138380
633769	O60488	P22392	634957	2054477
634495	P06241	P08575	2079075	3093536
635203	P11021	P01871	3333598	5334003
635435	P45452	P35625	647118	3561944
636106	P49023	P08575	2178303	3093536
636472	O14924	P05106	836513	1757092
637467	Q9NR55	P17676	2186833	3962824
637487	P01584	Q309B1	3873100	4866111
637586	O60488	P51553	634957	1439241
637674	P42224	P78347	1004542	1605620
637740	O60488	Q9NVP1	634957	3897301
638962	P05412	A6ZID6	5155720	14007084
639460	P43121	Q9C0C9	1831689	1881213
639507	P01584	P01584	3873100	3873100
640187	P43121	Q14289	1831689	3912212
640574	P04629	P08575	337760	3093536
641096	Q03060-23	Q03060-23	11792364	11792364
641674	P42224	P36897	1004542	3837793
642053	complex:0XRATk5zKc6w0TQsihCObf4C550	P25963	642053	2963834
642053	complex:0XRATk5zKc6w0TQsihCObf4C550	P21980	642053	3985867
642053	complex:0XRATk5zKc6w0TQsihCObf4C550	Q04206	642053	4629164
642145	O14924-4	P25025	836513	4138380
642816	Q05707	P16070	853601	3739030
643364	Q9NPH3-2	P01584	1998366	3873100
643383	P08069	P35568	638045	3143545
643875	P40189	Q62689	190090	3202606
644349	Q13094	O43561	2970254	3344377
644654	Q16520	P17676	3961535	3962824
644818	P42224-2	P25791	1004542	3321411
645144	complex:1DCrVxyPQpj+Hy2Oyuarmt4I+sQ	P08514	645144	866925
645144	complex:1DCrVxyPQpj+Hy2Oyuarmt4I+sQ	P05106	645144	1757092
645144	complex:1DCrVxyPQpj+Hy2Oyuarmt4I+sQ	P21980	645144	3985867
645144	complex:1DCrVxyPQpj+Hy2Oyuarmt4I+sQ	P02751	645144	14006253
645608	Q9BXR5	O60603	311151	735309
645628	XP_005246873	Q9Y3C5	1004542	4372825
645817	P42224	P43405	1004542	3999360
645835	Q14457	complex:1fvK6mptvDmmnt6rxJqL4oUAFp0	517184	645835
645835	complex:1fvK6mptvDmmnt6rxJqL4oUAFp0	Q99570	645835	1406752
645835	complex:1fvK6mptvDmmnt6rxJqL4oUAFp0	Q6ZNE5	645835	2186948
645835	complex:1fvK6mptvDmmnt6rxJqL4oUAFp0	Q96F24	645835	3617366
645835	complex:1fvK6mptvDmmnt6rxJqL4oUAFp0	Q8NEB9	645835	4021969
645854	P00533	P08575	2135848	3093536
645877	P35590	P08575	150081	3093536
646544	P14780	Q01955-5	221385	4400976
646977	P42224-2	Q92793	1004542	4774660
647042	P16070	O00182	3739030	4480897
647379	P25815	Q8WXG8	4764357	9148672
647418	P19525-2	P42224-2	384850	1004542
647587	P98170	Q13489	686131	4170192
647616	O14924-4	P36507	836513	2579959
647629	P49795	P41146	2875903	4826716
647704	Q09472	P17676	820620	3962824
647800	P17676	Q02447-5	3962824	4613710
647889	P01130	Q8NBP7	912086	3783042
648011	P18846	Q03060-23	178957	11792364
648066	O60488	O14980	634957	4692488
648498	Q09472	P41182-2	820620	2559145
648959	Q9UKI3	P01871	3402158	5334003
649118	P18848	P17676	399028	3962824
649681	O43566	P09471	2698076	5138521
649693	Q8ZA10	P01871	5332264	5334003
649704	P40189-2	Q03405-3	190090	1855991
650161	O60488	Q9Y4I1	634957	11934935
650645	P05556-2	P21980-2	1979966	3985867
651138	Q9Y6Y9	Q9Y6Y9	3110601	3110601
651352	P42226	P17676	1297684	3962824
651358	O14924-4	P04899	836513	3047661
651740	Q13094	P27986	2970254	3503650
652078	P35318	NP_001258680	4814801	10012889
652467	Q15303-3	A6ZID6	1180258	14007084
652849	XP_005246873	P20749	1004542	9148179
653416	P42224	O75365	1004542	5409001
653980	P17676	P49716	3962824	5013173
654343	Q12778	P17676	3348102	3962824
654728	O14924-4	P49146	836513	4737054
655474	Q9UHG2	P29120	4242373	4515644
655715	Q99570	P49674	1406752	1795737
656010	complex:2LxVWTFMoiDja9+L4zttGkk2Pow	Q9ULZ3	656010	1880606
656010	complex:2LxVWTFMoiDja9+L4zttGkk2Pow	P29466	656010	1923050
656010	complex:2LxVWTFMoiDja9+L4zttGkk2Pow	Q96P20	656010	3350216
656010	complex:2LxVWTFMoiDja9+L4zttGkk2Pow	Q9Y2G2	656010	4978634
656582	P14780	P39060	221385	5302676
656667	P29597	P35568	2218557	3143545
656778	O60488	P23528	634957	4689036
658126	P42224-2	Q7Z7K2	1004542	2861345
658302	XP_005253293	P26038	3739030	4949991
658725	P42224	P10721	1004542	1981907
658728	P14780	P09238	221385	263897
659140	P19086	O43665-2	3655035	5153774
659732	P01857	Q81R83	5333995	5424308
660208	Q9BTP7	Q3E835	4380215	16837817
660405	P35568	P42336	3143545	5032355
661099	O60488	P41091	634957	727423
661660	P29466	P52565	1923050	3211116
661931	O60488	P13797	634957	3945570
662373	O60488	Q96RQ3	634957	3347456
662627	P19022	P08575	2912791	3093536
662976	O60488	Q96D46	634957	4353759
663058	XP_005246873	Q13547	1004542	3908752
663701	P07858	P78556	4181226	5227249
664694	P24347	XP_005246733	144225	4855352
664708	complex:3MlS8nCXOGO+sQdkWQwzVeO0/e8	Q9HC29	664708	1378693
664708	complex:3MlS8nCXOGO+sQdkWQwzVeO0/e8	P29466	664708	1923050
664708	complex:3MlS8nCXOGO+sQdkWQwzVeO0/e8	Q9C000	664708	4222606
665315	P04155	Q86XP6	1119944	4661731
665372	O15218	P35318	4049544	4814801
666324	P43490	Q01628	1724893	2599030
666422	XP_005246873	O15379	1004542	4810370
666534	P25025	P80162	4138380	5126605
666544	Q9BTP7	Q8WXE1-5	4380215	4602540
667134	Q9ULX9	P35452	2082462	4277640
667446	P35568	G4XH65	3143545	4157895
667646	P42224-2	Q04206-4	1004542	4629164
667899	P40189-2	O14543	190090	861279
667939	P51511	Q07954	3512143	9441770
668491	P29466-5	Q9Y239	1923050	2542840
669072	P29466	NM_002111	1923050	14006660
669134	O14543	P35568	861279	3143545
669181	A5JSJ9	P50281	426556	4802061
669208	O95760	P42574	2333465	3329408
669353	P41182-2	P17535	2559145	3252387
669366	P00533	P35568	2135848	3143545
669392	P35568	P17480	3143545	4366994
669464	Q9NS28	P50148	475639	1806051
669600	P05106	P21980-2	1757092	3985867
669791	P19876	P25025	3741114	4138380
670493	P04626	P35568	711574	3143545
671092	O60488	Q9NSM5	634957	4373047
671146	P04626-3	XP_005246873	711574	1004542
671147	Q9NRY6	O75340	2567366	3673123
671367	O60488	P13667	634957	3004716
671428	P29466-4	P21127-5	1923050	4106115
672306	A4FTV9	O95760	1603647	2333465
672834	P30968-2	O43665-2	610167	5153774
672860	P61077	Q13489	2607334	4170192
673611	P08758	Q81LU9	4535951	5336180
673798	O14921	P50148	349491	1806051
674564	P42224	Q13485	1004542	3087482
674956	O60488	O95602	634957	1704297
675051	P84022-4	P17676	506434	3962824
675354	P41182	XP_005260415	2559145	5135943
675613	P42224	O43707	1004542	2778378
675700	O60603	A4D2P0	735309	886779
675736	P07711	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	512231	675736
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q14CN4	675736	2172183
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02768	675736	2726528
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P05546	675736	2871526
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01834	675736	3114885
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q92900	675736	3427613
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	E9KL36	675736	4608361
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02647	675736	5011796
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01857	675736	5333995
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01614	675736	5339595
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P21817	675736	5395245
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q7Z333	675736	9442794
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02751	675736	14006253
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02787	675736	14008088
676375	A8K881	P08758	3197085	4535951
676661	P41182	P17275	2559145	3482397
676675	P51617-4	Q9Y616-2	3635743	9443045
677338	O14933	P43490	261783	1724893
677559	Q03526	Q13094	1536407	2970254
678100	P08754	O43665-3	3252138	5153774
678662	XP_005246873	XP_005257673	1004542	3027803
678966	P04155	Q9NRR5	1119944	2154661
679441	Q16649	Q03060	3831942	11792364
