Entry	Entry name
A0A0U1RQX7	A0A0U1RQX7_HUMAN
C9JSP6	C9JSP6_HUMAN
Q9UNH5	CC14A_HUMAN
C9J611	C9J611_HUMAN
F8WBG6	F8WBG6_HUMAN
F8WF27	F8WF27_HUMAN
P30408	T4S1_HUMAN
Q8NE91	Q8NE91_HUMAN
A0A024R451	A0A024R451_HUMAN
A0A024R498	A0A024R498_HUMAN
C9JN98	C9JN98_HUMAN
C9JRK5	C9JRK5_HUMAN
C9K031	C9K031_HUMAN
P07093	GDN_HUMAN
P21397	AOFA_HUMAN
Q49A63	Q49A63_HUMAN
Q53YE7	Q53YE7_HUMAN
Q5UL91	Q5UL91_HUMAN
Q5UL94	Q5UL94_HUMAN
Q5ULA3	Q5ULA3_HUMAN
Q5ULA9	Q5ULA9_HUMAN
A0A087WSV6	A0A087WSV6_HUMAN
A0A087WSX8	A0A087WSX8_HUMAN
A0A0B4J1W1	A0A0B4J1W1_HUMAN
A0A0G2JLS4	A0A0G2JLS4_HUMAN
A0A0G2JMG0	A0A0G2JMG0_HUMAN
A0A0G2JNK9	A0A0G2JNK9_HUMAN
A0A0G2JNM2	A0A0G2JNM2_HUMAN
A0A0G2JNQ6	A0A0G2JNQ6_HUMAN
A0A0G2JNR3	A0A0G2JNR3_HUMAN
A0A0G2JP64	A0A0G2JP64_HUMAN
A0A0G2JP80	A0A0G2JP80_HUMAN
A0A0G2JQ15	A0A0G2JQ15_HUMAN
A0A0G2JQ44	A0A0G2JQ44_HUMAN
A0A0G2JQ46	A0A0G2JQ46_HUMAN
A8MVE2	A8MVE2_HUMAN
D9IDM4	D9IDM4_HUMAN
D9IDM5	D9IDM5_HUMAN
D9IDM6	D9IDM6_HUMAN
D9IDM7	D9IDM7_HUMAN
D9IDM8	D9IDM8_HUMAN
D9IDM9	D9IDM9_HUMAN
D9IDN1	D9IDN1_HUMAN
F6RVM3	F6RVM3_HUMAN
F6TER3	F6TER3_HUMAN
Q8NHL6	LIRB1_HUMAN
A0A0G2JHI2	A0A0G2JHI2_HUMAN
A0A0G2JJ13	A0A0G2JJ13_HUMAN
A0A0G2JJA7	A0A0G2JJA7_HUMAN
A0A0G2JJQ0	A0A0G2JJQ0_HUMAN
A2ACR0	A2ACR0_HUMAN
A2ACR1	A2ACR1_HUMAN
P28065	PSB9_HUMAN
A0A087WZJ0	A0A087WZJ0_HUMAN
E9PIT1	E9PIT1_HUMAN
E9PPH6	E9PPH6_HUMAN
F5GXG5	F5GXG5_HUMAN
L0R5A7	L0R5A7_HUMAN
Q149M6	Q149M6_HUMAN
Q8NEV8	EXPH5_HUMAN
A0A0G2JH67	A0A0G2JH67_HUMAN
O15205	UBD_HUMAN
A0A0G2JKF9	A0A0G2JKF9_HUMAN
A0A140T9S4	A0A140T9S4_HUMAN
A0A140TA42	A0A140TA42_HUMAN
C9J342	C9J342_HUMAN
C9JZG6	C9JZG6_HUMAN
F8WAS6	F8WAS6_HUMAN
F8WAV2	F8WAV2_HUMAN
F8WDC0	F8WDC0_HUMAN
F8WF38	F8WF38_HUMAN
Q5SUJ9	Q5SUJ9_HUMAN
Q8IW08	Q8IW08_HUMAN
Q9UBS5	GABR1_HUMAN
P14091	CATE_HUMAN
A0A087WVZ3	A0A087WVZ3_HUMAN
