interaction_id	a_alias	b_alias	a_id	b_id
617223	P01100	Q96L91	3805630	16819156
617382	Q9Y6Q9	A8K571	2296393	3030371
617945	O60488	P62877	634957	3594045
617966	Q13443	Q9Y5X1	1388712	3767375
618324	P01100	P07197	3805630	9148667
618379	F1D8N4	P01100	532535	3805630
618421	NP_066289	Q9Y6Q9-5	2068280	2296393
619111	P60709	O95084	2255804	3678099
619152	O60488	O43592	634957	3972190
619607	P04012	Q92973	2483324	3168228
619978	P13236	P32246	1714665	3001692
620143	B2CIS9	P29466-4	1682385	1923050
620189	P12931	XP_005259611	863768	9769294
620308	P60709	NP_579881	2255804	9129633
620466	Q13162	Q9Y6M9	620717	4066781
620536	XP_005246267	Q92985-3	1180601	4704365
620574	Q9P2R3	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	336836	620574
620574	Q14145	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	489608	620574
620574	Q8NI08	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	502096	620574
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	P60520	620574	2183154
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	O00410	620574	2521025
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	Q96RU3	620574	2667611
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	Q9BTU6	620574	2860614
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	O95352	620574	3132597
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	Q02790	620574	3147827
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	O95210	620574	3185636
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	Q13501	620574	3502869
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	O95166	620574	3589204
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	Q14596	620574	3921852
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	O75323	620574	4022643
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	Q9Y4P1	620574	4915679
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	Q9NT62	620574	5038670
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	Q8WXU2	620574	5312342
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	Q8TC07	620574	5406145
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	P46934	620574	14007162
620574	complex:+H1qgzAcp7yWjo27c+Zn5CMDytY	O15040	620574	14007999
621597	Q15256-5	Q9BWJ1	889770	3536546
621716	P28482	XP_005259611	3357491	9769294
621971	NP_002176	P07948-2	2659032	4083603
622379	P18847	Q04206	548010	4629164
622786	Q13177	Q13177	1248292	1248292
622870	Q14697	Q13177	670149	1248292
622880	O60488	Q8N442	634957	883877
622957	Q9Y3E7	P01100	3090120	3805630
623007	P16220	Q7Z3K3	2768047	4009570
623277	XP_005271593	P13569	201818	2450911
623502	P60709	P80316	2255804	4404816
623994	Q15306-2	Q92786	418524	828994
624221	Q9NZU7	P01100	274142	3805630
624232	Q16778	Q92973-2	2547485	3168228
624274	Q13751	Q13753	4127107	4860048
624280	Q9NPQ8	F1D8N6	2579349	4355071
624430	Q05195	Q13489	3995515	4170192
624993	complex:+xUhp5yDocTX1FFEV5jRKZYCTJM	Q92636	624993	1316459
624993	complex:+xUhp5yDocTX1FFEV5jRKZYCTJM	P50552	624993	2012571
624993	complex:+xUhp5yDocTX1FFEV5jRKZYCTJM	P60709	624993	2255804
625575	P06493	P31323	857930	3490749
625578	A8K7B7	P13569	749723	2450911
626524	O95967	O94817	2836526	4461253
626558	P18847	P05412	548010	5155720
626970	P06493	P14635	857930	4670894
627055	Q13443-2	Q9Y371	1388712	2278161
627216	B7Z3D6	P24385	857930	4865286
627236	P24394-2	P35568	261522	3143545
628055	Q13177	P08670	1248292	2053332
628445	P16871	P58546	2659032	2694002
629726	complex:/JRB6bK+nQDUXxcOqLGEy6/r9J8	P53610	629726	2246608
629726	complex:/JRB6bK+nQDUXxcOqLGEy6/r9J8	Q04631	629726	4410739
629726	complex:/JRB6bK+nQDUXxcOqLGEy6/r9J8	P62070	629726	4770079
630717	Q93062	Q15038	468848	1119923
630750	P14780	Q9NRE1	221385	5147980
630823	P06493-2	Q13526	857930	1894250
631435	P14780	P10915	221385	1649868
631657	P14780	P35070	221385	3662990
631662	Q92973	Q92616	3168228	14006330
631829	O14641	Q93062	400924	468848
632357	P11032	P01584	3158564	3873100
632358	Q14449	P06213	1173557	9769294
632360	P04075	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	151491	632360
632360	P11142	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	201818	632360
632360	B0ZBD0	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	491312	632360
632360	Q96EP5	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	564332	632360
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	D0PNI1	632360	746078
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P29692	632360	958086
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P04406	632360	986959
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P26641	632360	1235047
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P07737	632360	1424408
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P68104	632360	1505377
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P68363	632360	1508637
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P62937	632360	1609299
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P32119	632360	1845978
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P46783	632360	2133787
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	A4D105	632360	2221221
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P60709	632360	2255804
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P43351	632360	2603205
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P62258	632360	3077030
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	A8K5I0	632360	3202052
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P06733	632360	3896458
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P10809	632360	4121257
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P07195	632360	4389437
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P55735	632360	4494056
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P12277	632360	4717428
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	Q06830	632360	5214082
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P30041	632360	5217412
632360	complex:/tlnb41zlAut8ssZFbsfqXRmhpo	P84077	632360	5240249
632715	P13236	A0N0R1	1714665	3968630
633031	Q07343	C4P096	4774463	5309392
633128	O94817	rogid:+8XSEUTk9eeZVGbtHrRarIZmq9U9606	4461253	53623907
633474	P25025	P25025	4138380	4138380
633769	O60488	P22392	634957	2054477
634326	P16220-3	P68431	2768047	3410334
634331	P63313	P01100	3462080	3805630
634377	P13569	P15311	2450911	4258047
634495	P06241	P08575	2079075	3093536
634682	P06493-2	P33552	857930	3527425
634809	Q99959	P01100	2791010	3805630
634937	Q9P1W9	Q9NTM9	415267	3062050
635409	P46109	Q8NAK2	327364	2650494
635483	Q9Y6Q9-5	Q96T76	2296393	4101989
636106	P49023	P08575	2178303	3093536
636136	P06493	Q01538	857930	927866
636515	P11142	Q92844	201818	1180601
636609	complex:0D45n3S2bjBOg/5ozJseCPnfksA	P06493	636609	857930
636609	complex:0D45n3S2bjBOg/5ozJseCPnfksA	P41002	636609	4032483
636609	complex:0D45n3S2bjBOg/5ozJseCPnfksA	P14635	636609	4670894
636712	P19474	Q9Y6Q9-5	98437	2296393
636835	Q93062	Q3YEC7-3	468848	1155017
637218	O60506	XP_005259611	390142	9769294
637487	P01584	Q309B1	3873100	4866111
637586	O60488	P51553	634957	1439241
637740	O60488	Q9NVP1	634957	3897301
638132	Q13177	Q03001-11	1248292	14005663
639339	F1D8Q5	Q9Y6Q9-5	2071127	2296393
639507	P01584	P01584	3873100	3873100
639988	Q9H936	P49662	1166811	2018169
640239	complex:EDlsFRZukMaei2ON37oP40MMN1k	P23458	640239	2038544
640239	complex:EDlsFRZukMaei2ON37oP40MMN1k	NP_002176	640239	2659032
640239	complex:EDlsFRZukMaei2ON37oP40MMN1k	Q14289	640239	3912212
640248	P01100	Q8WX92	3805630	3875375
640311	Q13177	Q8IZP0-3	1248292	3078390
640517	P22004	Q9Y6Q9-5	1277477	2296393
640574	P04629	P08575	337760	3093536
640785	Q9Y6Q9-5	F1D8P7	2296393	14007198
641113	Q811Q9	P60709	828304	2255804
641147	P60709	XP_005251997	2255804	4327650
641224	Q92973	P62333	3168228	3686531
641639	O94817	A9UGY9	4461253	5071100
641662	Q9Y6Q9-5	A2I2P5	2296393	4844654
641893	P84077	XP_005259611	5240249	9769294
642038	P60709	P16871	2255804	2659032
642114	P20618	P49662-2	1549507	2018169
642145	O14924-4	P25025	836513	4138380
642151	Q09472	P16220-3	820620	2768047
642874	XP_005246267	O14713-2	1180601	3788187
643263	Q9Y6Q9-5	XP_005273549	2296393	5151310
643364	Q9NPH3-2	P01584	1998366	3873100
643383	P08069	P35568	638045	3143545
643566	Q13263	complex:14W7Ik4CVPAFbS4n9KIe9bNlrA8	163267	643566
